question,gold_program,pred_program,gold_answer,pred_answer,execution_accuracy,program_accuracy,error_type
what is the percentage change in the the gross liability for unrecognized tax benefits during 2008 compare to 2007?,"subtract(139549, 201808), divide(#0, 201808)",,-0.30851,,False,False,Parsing Error
what was the total impairment costs recorded from 2003 to 2005 in millions,"add(0.6, 0.5), add(#0, 4.7)","subtract(20,39)",5.8,6.3,False,False,Retrieval Error
"what is the borrowing under the term loan facility as a percentage of the total contractual maturities of long-term debt obligations due subsequent to december 31 , 2016?","divide(3500, 3081)",,1.13599,,False,False,Parsing Error
in 2015 what was the percent of the total operating revenues associated with agriculture products,"divide(3581, 21813)",,0.16417,,False,False,Parsing Error
what percent of net interest revenue where total operating expenses in 2009?,"divide(896, 3173)",,0.28238,,False,False,Parsing Error
"what was the greatest provision for income taxes , in millions?","table_max(provision for income taxes, none)",,829.0,,False,False,Parsing Error
in 2018 what was the percent of the cib markets net interest income as part of the managed interest income,"divide(3087, 55687)",,0.05543,,False,False,Parsing Error
"what would the fair value of total securities available for sale be without the fair value of securities classified as corporate stocks as of december 31 , 2012?","subtract(61912, 367)",,61545.0,,False,False,Parsing Error
"assuming the same level of settlements as in fiscal 2007 , what would be the ending balance at march 31 2008 in millions for unrecognized tax benefits?\\n","subtract(168, 56)",,112.0,,False,False,Parsing Error
"as of december 2012 what is the percent of the square footage not leased to the total square footage in alpharetta , georgia","divide(165000, 254000)",,0.64961,,False,False,Parsing Error
as of december 2007 what was the percent of the square footage in alpharetta georgia not yet leased,"divide(166000, 219000)",,0.75799,,False,False,Parsing Error
"what is the total amount of stock options cancelled in millions during 2017 , 2016 and 2015?","add(4.6, 5.5), add(#0, const_2)",,12.1,,False,False,Parsing Error
"in 2004 and 2003 , what were the total shares of common stock that were issued to employees?","add(1939734, 1937141)","subtract(289581, 177973)",3876875.0,289581.0,False,False,Retrieval Error
what is the net change in net revenue for entergy wholesale commodities during 2012?,"subtract(1854, 2045)",,-191.0,,False,False,Parsing Error
what was the difference in percentage cumulative total return for goldman sachs group inc . and the s&p 500 index for the five year period ending 12/31/13?,"subtract(248.36, const_100), divide(#0, const_100), subtract(236.20, const_100), divide(#2, const_100), subtract(#1, #3)",,0.1216,9.0,False,False,Parsing Error
"as of december 31 , 2017 what was the value of the granted share awards","multiply(160196, 58.02)","subtract(5829,5735)",9294571.92,94.0,False,False,Retrieval Error
what percent of total contractual obligations is categorized as long term debt?,"divide(460.1, 1020.1)",,0.45103,,False,False,Parsing Error
what was the average cash flow from 2004 to 2006,"add(957.4, 769.1), add(950.4, #0), divide(#1, const_3)",,892.3,,False,False,Parsing Error
"what is the total value of securities issued and approved by security holders , ( in millions ) ?","multiply(766801, 40.85), divide(#0, const_1000000)",,31.32382,,False,False,Parsing Error
what is the percentage change in revenue generated from non-us currencies from 2015 to 2016?,"subtract(1909, 1336), divide(#0, 1336)",,0.42889,,False,False,Parsing Error
what was the percentage decrease in cash flows from operations from 2009 to 2010?,"subtract(559.7, 515.2), divide(#0, 559.7)",,0.07951,,False,False,Parsing Error
what percentage of the total carrying amount of investment securities is the securities held to maturity?,"divide(10.4, 61.4), multiply(#0, const_100)",,16.93811,,False,False,Parsing Error
for the quarter ended 12/29/2018 what was the percent of the total shares bought after 11/25/2018,"divide(205000, 630000)",,0.3254,,False,False,Parsing Error
what was the percentage change in cash flows from operations from 2014 to 2015?,"subtract(1131, 1165), divide(#0, 1165)",,-0.02918,0.2,False,False,Parsing Error
"as of december 31 , 2010 , what was the ratio of collateral pledged to the bank by its derivatives counterparties to overnight and other short-term borrowings","divide(2.3, 0.5)","multiply(2.3, 0.5)",4.6,2.3,False,False,Operation Error
"what is the total value , in dollars , of the shares purchasable under the warrant?","multiply(5576208, 53.80)",,299999990.4,,False,False,Parsing Error
during 2008 what was the share price of the warrants exercised\\n,"divide(const_3, 401362)",,1e-05,,False,False,Parsing Error
"what is the growth rate in net revenue for entergy mississippi , inc . in 2003?","subtract(426.6, 380.2), divide(#0, 380.2)",,0.12204,,False,False,Parsing Error
what portion of the estimated purchase price is derived by the net tangible assets?,"divide(2800, 73200)","subtract(2800,12300)",0.03825,6.2,False,False,Retrieval Error
what was the percentage change in the weighted average fair value on the date of the award of the common stock,"subtract(63.43, 57.37), divide(#0, 57.37)",,0.10563,,False,False,Parsing Error
in november 2005 what was the percent of the stock issue costs to the company proceeds,"divide(10.8, 112.7)",,0.09583,,False,False,Parsing Error
what was the percentage change in the impact of the euro on earnings from 2010 to 2011?,"subtract(26.4, 18.6), divide(#0, 18.6)",,0.41935,9.0,False,False,Parsing Error
what was the average number of shares issued to employees from 2013 to 2015,"add(411636, 439000)",,850636.0,,False,False,Parsing Error
what was the percentage change in receivables from brokers with in other current assets from 2009 to 2010?,"subtract(11.2, 8.8), divide(#0, 8.8)",,0.27273,,False,False,Parsing Error
in the adoption of the prospective method what was the ratio of the other comprehensive income to the net income reclassifying certain separate accounts to general account,"divide(294, 30)",,9.8,6.0,False,False,Parsing Error
"assuming all options in the compensation plans approved by security holders were exercised , what would be the deemed proceeds to the company?","multiply(1211143, 308.10)","subtract(5829,5735)",373153158.3,1000000.0,False,False,Retrieval Error
what is the net change in aon 2019s unpaid restructuring liabilities during 2006?,"add(155, -141), add(#0, 4)","subtract(155,38)",18.0,-141.0,False,False,Retrieval Error
what are the nuclear realized price changes as a percentage of the decrease in net revenue from 2011 to 2012?,"subtract(2045, 1854), divide(194, #0)",,1.01571,,False,False,Parsing Error
did compensation expense related to the company 2019s employee stock purchase plan grow from 2004 to 2005?,"greater(28000, 19000)",,yes,,False,False,Parsing Error
what percentage of the intangible assets is related to the license of the realtor.com ae trademark?,"divide(116, 216)",,0.53704,,False,False,Parsing Error
in 2012 what was the percent of the total amortized assets that was made of total securities available for sale,"divide(49447, 59801)",,0.82686,,False,False,Parsing Error
what is the annual interest cost savings by the company redeeming the 8.75% ( 8.75 % ) second priority senior secured notes?,"multiply(690, const_1000000), multiply(#0, 8.75%)","subtract(690, 8.75)",60375000.0,-62.0,False,False,Retrieval Error
"commercial mortgage loans held for sale designated at fair value at december 31 , 2011 were what percent of total loans held for sale at december 31 , 2011?","divide(843, 2936)",,0.28713,,False,False,Parsing Error
in 2017 what was the percent of the total future estimated cash payments under existing contractual obligations associated with long-term debt that was due in 2018,"divide(604.2, 8290.6)",,0.07288,,False,False,Parsing Error
what is the percentage change in the pre-tax pension and postretirement expense from 2017 to 2018?,"subtract(164, 199), divide(#0, 199)",,-0.17588,,False,False,Parsing Error
what percentage of the outstanding options were from plans approved by security holders?,"divide(1211143, 1217121)",,0.99509,,False,False,Parsing Error
what was the percent of the change in the stock price performance for hum from 2010 to 2011,"subtract(201, 125), divide(#0, 125)",,0.608,9.1,False,False,Parsing Error
what was the five year change in the vornado realty trust index?,"subtract(201, 100)","subtract(5829,5735)",101.0,94.0,False,False,Retrieval Error
what was the percentage change in the weighted-average estimated fair value of employee stock options granted during from 2013 to 2014,"divide(11.02, 9.52), divide(#0, 9.52)",,0.12159,,False,False,Parsing Error
what was total miles of private crude oil pipelines and private refined products pipelines?,"add(176, 850)","subtract(217,850)",1026.0,217.0,False,False,Retrieval Error
what is the change in fair value of financial market instruments as part of the hedging strategy during 2010?,"subtract(21, 47)",,-26.0,,False,False,Parsing Error
"in millions for the fourth quarters of 2017 and 2016 , what was the total tier 1 capital?","add(78227, 81808)",,160035.0,,False,False,Parsing Error
the five year total return for the period ending 12/31/2012 on ball corporation stock was how much greater than the same return on the s&p 500?,"divide(207.62, 97.13)","subtract(100,97.76)",2.13755,12.09,False,False,Retrieval Error
the five year total return for the period ending 12/31/2012 on ball corporation stock was how much greater than the same return on the dj us containers & packaging index?,"subtract(207.62, 97.13)","subtract(100,93.28)",110.49,12.47,False,False,Retrieval Error
"as of december 31 , 2007 , how much unrecognized compensation cost related to restricted stock awards is expected to be recognized in 1 year , in millions?","divide(37, 1.4)",,26.42857,,False,False,Parsing Error
what was the ratio of the purchase in december 2012 to the purchase in january 2013,"divide(102400, 15790)",,6.48512,,False,False,Parsing Error
what percentage of the company's gross liabilities are classified as other long-term liabilities in the accompanying consolidated balance sheets in 2012?,"divide(74360, 180993)",,0.41084,,False,False,Parsing Error
what was the percentage change in the cash dividends paid per common share from 2006 to 2007,"add(1.11, 1.08), divide(#0, 1.08)",,2.02778,9.1,False,False,Parsing Error
what percentage of future minimum rental payments are due after 2020?,"divide(1160, 2575)",,0.45049,,False,False,Parsing Error
what is the roi of an investment in ups from 2008 to 2009?,"subtract(86.42, 80.20), divide(#0, 80.20)",,0.07756,,False,False,Parsing Error
what is the average share price for the shares issued to employees in 2015 in u.k.?,"multiply(2, const_1000000), divide(#0, 2779)",,719.68334,,False,False,Parsing Error
by how much more is the net gains from sales of available-for-sale securities in 2009 compare to 2008?,"subtract(368, 68)","subtract(1636, 139)",300.0,1435.0,False,False,Retrieval Error
"as of december 31 , 2018 what was the percentage decline in the allowance for doubtful accounts","subtract(34.3, 38.9), divide(#0, 38.9)",,-0.11825,,False,False,Parsing Error
what percentage of total number of shares purchased were repurchased in open-market transactions?,"divide(42749, 45686)",,0.93571,,False,False,Parsing Error
brazilian paper sales represented what percentage of printing papers in 2006?,"divide(496, 6930)",,0.07157,,False,False,Parsing Error
"considering the years 2014-2016 , what is the average operating income?","table_average(operating income, none)","subtract(5829,5735)",822.06667,94.0,False,False,Retrieval Error
"what is the net effect of the cumulative effect adjustments , net of income tax effects , to beginning retained earnings for new accounting standards adopted by cadence on the retained earnings balance as adjusted for december 30 , 2017 , in thousands?","subtract(426932, 341003)",,85929.0,,False,False,Parsing Error
what is the rate of return in cadence design systems inc . of an investment from 2010 to 2011?,"subtract(137.90, const_100), divide(#0, const_100)","subtract(100.00, 137.90)",0.379,67.9,False,False,Retrieval Error
"counting indirect shares , how many shares would arthur d . levinson own in total?","add(362400, 2000)",,364400.0,362400.0,False,False,Parsing Error
what is the return on investment for s&p500 from 2004 to 2006?,"subtract(121.48, const_100), divide(#0, const_100)","subtract(5829,5735)",0.2148,994.0,False,False,Retrieval Error
what is the amount of credit lines that has been drawn in millions as of year-end 2016?,"subtract(746, 554)",,192.0,,False,False,Parsing Error
what is the percentage decrease in receivables from the money pool from 2010 to 2011?,"subtract(23596, 63003), divide(#0, 63003)",,-0.62548,,False,False,Parsing Error
what is awk's 2012 unrecognized tax benefit as a percentage of gross liabilities?,"divide(7532, 180993)",,0.04161,,False,False,Parsing Error
